"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Methanospirillum hungatei",11,262,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanospirillaceae","Methanospirillum","hungatei"
"Methanospirillum sp. J.3.6.1-F.2.7.3",2,29,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanospirillaceae","Methanospirillum","sp. J.3.6.1-F.2.7.3"
"Methanococcoides burtonii",4,84,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanococcoides","burtonii"
"Methanococcoides methylutens",10,131,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanococcoides","methylutens"
"Methanococcoides sp. LMO-1",11,194,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanococcoides","sp. LMO-1"
"Methanohalobium evestigatum",6,138,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanohalobium","evestigatum"
"Methanolobus zinderi",12,206,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanolobus","zinderi"
"Methanomethylovorans hollandica",8,120,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanomethylovorans","hollandica"
"Methanosalsum zhilinae",5,102,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosalsum","zhilinae"
"Methanosarcina acetivorans",9,184,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","acetivorans"
"Methanosarcina barkeri",15,644,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","barkeri"
"Methanosarcina flavescens",4,221,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","flavescens"
